City_ID,City,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,ad dawadimi,24.5077,44.3924,22.64,48,100,2.83,SA,1712786048
244,san pedro pochutla,15.7333,-96.4667,31.88,43,20,3.45,MX,1712786048
245,prince rupert,54.3161,-130.3201,9.05,73,100,22.12,CA,1712786048
246,constitucion,-35.3333,-72.4167,13.76,65,51,3.79,CL,1712786048
247,linhares,-19.3911,-40.0722,23.81,89,27,1.55,BR,1712786048
248,koysinceq,36.0821,44.6278,12.89,89,94,0.69,IQ,1712786048
249,saldanha,-33.0117,17.9442,16.03,75,0,7.86,ZA,1712786048
250,tupancireta,-29.0806,-53.8358,19.48,97,99,5.32,BR,1712786048
251,remire-montjoly,4.9167,-52.2667,28.02,89,75,2.06,GF,1712786049
252,vorgashor,67.5833,63.95,-24.68,100,100,2.14,RU,1712786049
253,hola,51.5377,23.1902,12.1,73,100,4.7,PL,1712786049
254,bousso,10.4795,16.7117,31.81,11,90,3.46,TD,1712786049
255,port alfred,-33.5906,26.891,14.54,92,100,1.34,ZA,1712786049
256,andergrove,-21.0833,149.1833,18.14,59,5,5.14,AU,1712785820
257,candon,17.1947,120.4517,25.74,74,12,0.81,PH,1712786049
258,dudinka,69.4058,86.1778,-31.29,100,100,1.79,RU,1712786049
259,antsiranana,-12.2787,49.2917,25.57,91,61,3.57,MG,1712786049
260,glace bay,46.1969,-59.957,4.47,71,20,7.72,CA,1712786049
261,smirnykh,49.75,142.8333,5.91,56,63,2.8,RU,1712786050
262,saint-joseph,-21.3667,55.6167,24.21,78,70,1.64,RE,1712786050
263,wladyslawowo,54.7909,18.4009,8.89,73,63,6.19,PL,1712786050
264,brisas de zicatela,15.8369,-97.0419,28.74,64,99,2.62,MX,1712786050
265,paita,-5.0892,-81.1144,24.02,76,60,5.95,PE,1712786050
266,ghanzi,-21.5667,21.7833,18.88,36,1,3.85,BW,1712786050
267,jayapura,-2.5333,140.7,24.66,95,99,2.23,ID,1712786050
268,changnyeong,35.5415,128.4951,10.77,87,40,0.51,KR,1712786050
269,newman,37.3138,-121.0208,26.27,48,85,2.68,US,1712785797
270,crixas,-14.5489,-49.9692,24.51,83,71,1.61,BR,1712786051
271,ozieri,40.586,9.0012,4.58,97,68,1.67,IT,1712786051
272,potosi,-19.5836,-65.7531,16.48,51,40,1.54,BO,1712786051
273,anolaima,4.8336,-74.4995,27.63,63,78,1.45,CO,1712786051
274,pokhara,28.2333,83.9833,18.13,17,0,3.41,NP,1712785886
275,susuman,62.7833,148.1667,-19.45,99,88,0.45,RU,1712786051
276,kigoma,-4.8769,29.6267,24.33,80,99,1.08,TZ,1712786051
277,utrik,11.2278,169.8474,26.71,77,100,9.64,MH,1712786051
278,freetown,8.484,-13.2299,26.84,78,40,5.14,SL,1712786051
279,bokhan,53.153,103.7714,4.48,96,100,0.68,RU,1712786051
280,natal,-5.795,-35.2094,28.36,83,40,2.06,BR,1712785858
281,green river,41.5286,-109.4662,13.99,26,10,9.31,US,1712786052
282,sechura,-5.5569,-80.8222,26.81,63,79,6.39,PE,1712786052
283,piti village,13.4626,144.6933,28.03,80,0,4.12,GU,1712786052
284,arraial do cabo,-22.9661,-42.0278,25.92,83,40,4.63,BR,1712786052
285,cole harbour,44.6724,-63.4751,5.55,57,15,6.71,CA,1712786052
286,conceicao da barra,-18.5933,-39.7322,25.02,85,21,2.18,BR,1712786052
287,hultsfred,57.4882,15.8436,5.37,67,76,5.3,SE,1712786052
288,queenstown,-31.8976,26.8753,11.06,81,99,2.04,ZA,1712785931
289,sitka,57.0531,-135.33,7.94,61,100,6.17,US,1712786053
290,wotho,10.1657,166.0102,27.18,83,100,9.38,MH,1712786053
291,afif,23.9065,42.9172,22.38,25,74,2.66,SA,1712786053
292,corinto,37.9407,22.9573,16.24,64,89,1.26,GR,1712785869
293,hancheng,32.5186,112.3522,13.27,92,100,2.14,CN,1712786053
294,luwuk,-0.9516,122.7875,23.56,77,100,1.36,ID,1712786053
295,lompoc,34.6391,-120.4579,28.77,61,0,6.17,US,1712786053
296,igarka,67.4667,86.5833,-28.32,98,27,4.02,RU,1712786053
297,vishnyeva,54.7122,26.5225,8.6,72,97,4.9,BY,1712786053
298,karachayevsk,43.774,41.9142,11.65,88,100,1.11,RU,1712786054
299,wanning,18.8003,110.3967,24.48,95,25,1.2,CN,1712786054
300,hakha,22.65,93.6167,16.09,28,1,1.72,MM,1712786054
301,talcahuano,-36.7167,-73.1167,14.82,67,0,1.54,CL,1712786054
302,margate,51.3813,1.3862,11.61,90,100,6.26,GB,1712785992
303,nguigmi,14.2495,13.1092,28.55,13,35,5.2,NE,1712786054
304,hunucma,21.0167,-89.8667,33.51,48,74,5.36,MX,1712786054
305,bulungu,-4.55,18.6,23.09,88,100,0.22,CD,1712786054
306,malmberget,67.1753,20.6549,2.31,87,75,4.12,SE,1712786054
307,karratha,-20.7377,116.8463,25.28,61,33,5.61,AU,1712786055
308,mont-laurier,46.5501,-75.4993,18.79,62,80,1.79,CA,1712786055
309,vredendal,-31.6683,18.5012,18.92,51,0,4.16,ZA,1712786055
310,aqsay,51.1678,52.995,8.44,92,65,3.35,KZ,1712786055
311,yuzhno-kurilsk,44.0306,145.8556,0.21,83,22,2.8,RU,1712786055
312,azadshahr,34.7909,48.5707,4.27,93,75,5.14,IR,1712786055
313,santa ana,33.7456,-117.8678,32.2,33,0,4.63,US,1712785969
314,sinjai,-5.1241,120.253,23.22,90,96,2.24,ID,1712786055
315,siwa oasis,29.2041,25.5195,20.35,37,0,5.1,EG,1712786055
316,ingeniero guillermo n. juarez,-23.9,-61.85,24.31,95,45,5.34,AR,1712786056
317,thandla,23.0,74.5667,28.08,44,100,3.86,IN,1712786056
318,paphos,34.7667,32.4167,15.88,100,40,2.57,CY,1712786056
319,port mathurin,-19.6833,63.4167,26.64,79,32,5.49,MU,1712786056
320,es castell,39.8795,4.2854,12.38,71,20,1.54,ES,1712786056
321,dakhla,23.6848,-15.958,18.01,94,0,5.14,EH,1712785923
322,mohr,54.3528,9.7167,7.2,85,93,3.6,DE,1712786056
323,birao,10.2849,22.7882,28.07,11,5,2.93,CF,1712786056
324,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,96,20,11.0,RU,1712786056
325,obudu,6.6674,9.1716,28.45,70,97,1.34,NG,1712786056
326,shingu,33.7333,135.9833,13.8,79,98,3.93,JP,1712786057
327,le port,-20.9373,55.2919,25.0,76,61,2.56,RE,1712785990
328,mudgee,-32.5943,149.5871,11.83,61,0,1.39,AU,1712786057
329,yala,6.3333,101.25,25.89,94,81,1.36,TH,1712786057
330,floro,61.5996,5.0328,5.98,81,20,7.2,NO,1712786057
331,mocoa,1.1493,-76.6466,25.09,83,98,0.23,CO,1712785968
332,ancud,-41.8697,-73.8203,12.06,66,1,1.5,CL,1712786057
333,san julian,21.0167,-102.1667,27.58,11,1,7.81,MX,1712786058
334,savanna-la-mar,18.219,-78.1332,28.97,79,59,2.16,JM,1712786058
335,kruisfontein,-34.0033,24.7314,13.82,71,100,2.22,ZA,1712786058
336,tarawa,1.419,172.984,29.05,89,75,3.6,KI,1712786058
337,axim,4.8699,-2.2405,28.4,83,100,3.46,GH,1712786058
338,sisimiut,66.9395,-53.6735,-5.19,73,100,1.33,GL,1712786058
339,nuuk,64.1835,-51.7216,-2.66,80,75,2.24,GL,1712785860
340,port augusta,-32.5,137.7667,13.89,70,3,1.62,AU,1712786058
341,nizhneudinsk,54.9076,99.0276,1.93,98,100,1.6,RU,1712786058
342,akureyri,65.6835,-18.0878,-0.04,69,0,1.54,IS,1712786058
343,salinopolis,-0.6136,-47.3561,26.58,84,56,3.03,BR,1712786059
344,tobol'sk,58.2,68.2667,-3.55,80,97,1.79,RU,1712786059
345,aktobe,50.2797,57.2072,8.05,87,75,3.0,KZ,1712786059
346,merizo village,13.2658,144.6691,27.85,86,100,8.51,GU,1712786059
347,mana,5.6592,-53.7767,26.98,84,72,4.75,GF,1712786059
348,bel ombre,-4.6167,55.4167,25.91,89,40,1.54,SC,1712786059
349,myeik,12.4333,98.6,27.71,79,92,1.77,MM,1712786059
350,bolondron,22.7633,-81.4469,30.11,39,75,5.14,CU,1712786059
351,lata,40.1629,-8.3327,14.95,82,99,1.61,PT,1712786059
352,lampasas,31.2168,-98.2336,17.94,69,69,11.57,US,1712786060
353,baoshan,46.5586,131.4244,5.93,53,9,3.84,CN,1712786060
354,walvis bay,-22.9575,14.5053,13.53,94,1,3.09,NA,1712786060
355,alcantara,-2.4089,-44.4147,28.11,93,86,2.72,BR,1712786060
356,businga,3.3333,20.8833,24.54,79,78,1.06,CD,1712786060
357,bac lieu,9.285,105.7244,28.45,75,35,8.57,VN,1712786060
358,luganville,-15.5333,167.1667,28.2,80,48,0.55,VU,1712786060
359,beloyarskiy,63.7119,66.6722,-17.22,100,84,1.34,RU,1712786060
360,umba,66.6871,34.3429,1.81,100,100,4.8,RU,1712786060
361,boli,45.7667,130.5167,7.75,53,12,3.03,CN,1712786060
362,st. johns,47.5649,-52.7093,0.38,82,40,4.63,CA,1712785761
363,kenora,49.8167,-94.4337,13.54,41,75,0.0,CA,1712786061
